date,sessions,duration,opens,engage,views,clicks
2015-03-28-12-30,13319,159.00,17.15,0.97,1.11,0.86
2015-03-28-13-00,12797,159.00,17.64,0.97,1.11,0.86
2015-03-28-13-30,12328,157.00,17.43,0.98,1.10,0.85
2015-03-28-14-00,12134,154.00,16.80,0.97,1.10,0.85
2015-03-28-14-30,11736,154.00,17.21,0.92,1.10,0.84
2015-03-28-15-00,11220,158.00,17.56,0.98,1.10,0.85
2015-03-28-15-30,10481,154.00,16.87,0.96,1.12,0.85
2015-03-28-16-00,10059,149.00,16.46,0.88,1.11,0.83
2015-03-28-16-30,10065,151.00,16.71,0.88,1.12,0.84
2015-03-28-17-00,9562,155.00,16.80,0.92,1.14,0.84
2015-03-28-17-30,9367,148.00,16.40,0.90,1.12,0.84
2015-03-28-18-00,8910,153.00,16.82,0.90,1.13,0.83
2015-03-28-18-30,8697,150.00,16.57,0.93,1.12,0.82
2015-03-28-19-00,8614,143.00,16.22,0.87,1.14,0.83
2015-03-28-19-30,8389,147.00,16.18,0.91,1.12,0.82
2015-03-28-20-00,8566,147.00,16.87,0.87,1.10,0.82
2015-03-28-20-30,8563,148.00,17.06,0.94,1.10,0.83
2015-03-28-21-00,8106,148.00,16.64,0.92,1.08,0.82
2015-03-28-21-30,7915,151.00,17.62,0.97,1.08,0.83
2015-03-28-22-00,7578,151.00,16.74,0.90,1.07,0.80
2015-03-28-22-30,7090,151.00,18.08,0.96,1.09,0.81
2015-03-28-23-00,6602,149.00,17.74,0.96,1.09,0.81
2015-03-28-23-30,6008,153.00,17.81,0.97,1.08,0.81
2015-03-29-00-00,5800,200.00,25.97,1.08,1.18,0.98
2015-03-29-00-30,4888,205.00,25.00,1.12,1.16,0.91
2015-03-29-01-00,4626,213.00,26.58,1.17,1.19,0.95
2015-03-29-01-30,3872,216.00,26.51,1.18,1.17,0.92
2015-03-29-02-00,3202,205.00,25.74,1.20,1.18,0.91
2015-03-29-02-30,2519,214.00,25.91,1.34,1.19,0.91
2015-03-29-03-00,2208,203.00,24.83,1.23,1.19,0.92
2015-03-29-03-30,1929,198.00,25.11,1.13,1.15,0.92
2015-03-29-04-00,1796,216.00,26.58,1.16,1.25,0.96
2015-03-29-04-30,1655,225.00,26.99,1.26,1.22,0.97
2015-03-29-05-00,1772,210.00,26.98,1.16,1.24,0.98
2015-03-29-05-30,1903,233.00,28.73,1.18,1.26,1.02
2015-03-29-06-00,2496,204.00,26.53,1.05,1.23,0.99
2015-03-29-06-30,3394,229.00,28.61,1.10,1.30,1.03
2015-03-29-07-00,5392,226.00,28.95,0.99,1.28,1.05
2015-03-29-07-30,9023,244.00,31.24,0.99,1.27,1.06
2015-03-29-08-00,13388,255.00,32.35,1.02,1.23,1.04
2015-03-29-08-30,19283,254.00,32.62,1.01,1.17,1.02
2015-03-29-09-00,22941,250.00,32.01,1.04,1.12,0.98
