date,sessions,duration,opens,engage,views,clicks
2015-03-21-22-30,6699,165.00,19.05,0.93,1.10,0.82
2015-03-21-23-00,6277,162.00,19.11,0.94,1.10,0.80
2015-03-21-23-30,5677,167.00,19.93,1.05,1.11,0.83
2015-03-22-00-00,5438,153.00,17.85,0.91,1.07,0.86
2015-03-22-00-30,4664,154.00,17.66,0.90,1.08,0.86
2015-03-22-01-00,4135,149.00,17.13,0.91,1.06,0.83
2015-03-22-01-30,3331,153.00,17.87,0.97,1.08,0.86
2015-03-22-02-00,2884,154.00,17.67,0.98,1.11,0.88
2015-03-22-02-30,2507,149.00,17.12,0.93,1.07,0.83
2015-03-22-03-00,2263,153.00,18.43,0.92,1.08,0.87
2015-03-22-03-30,1822,145.00,17.26,0.97,1.08,0.85
2015-03-22-04-00,1759,150.00,17.54,1.03,1.08,0.86
2015-03-22-04-30,1607,159.00,17.42,0.99,1.11,0.87
2015-03-22-05-00,1705,143.00,17.65,0.92,1.11,0.89
2015-03-22-05-30,2545,154.00,20.68,1.03,0.99,0.89
2015-03-22-06-00,3711,168.00,22.63,0.95,0.98,0.92
2015-03-22-06-30,5498,177.00,24.20,1.08,0.96,0.93
2015-03-22-07-00,8107,176.00,23.76,1.01,0.94,0.92
2015-03-22-07-30,11384,171.00,22.86,0.98,0.99,0.93
2015-03-22-08-00,14985,165.00,21.66,0.94,0.99,0.93
2015-03-22-08-30,18615,166.00,21.20,0.91,1.01,0.94
2015-03-22-09-00,21046,170.00,21.05,0.91,1.03,0.93
2015-03-22-09-30,22291,173.00,21.05,0.92,1.02,0.93
2015-03-22-10-00,22860,171.00,20.70,0.91,1.02,0.91
2015-03-22-10-30,22898,172.00,20.50,0.94,1.03,0.91
2015-03-22-11-00,22655,167.00,19.91,0.94,1.03,0.90
2015-03-22-11-30,22265,170.00,19.80,0.95,1.05,0.89
2015-03-22-12-00,20999,166.00,19.34,0.93,1.04,0.89
2015-03-22-12-30,20162,166.00,19.09,0.92,1.05,0.89
2015-03-22-13-00,22813,146.00,17.71,0.81,0.95,0.91
2015-03-22-13-30,20046,154.00,17.85,0.92,1.02,0.88
2015-03-22-14-00,18198,153.00,17.70,0.90,1.03,0.87
2015-03-22-14-30,17483,156.00,17.83,0.93,1.04,0.87
2015-03-22-15-00,15933,154.00,17.52,0.95,1.03,0.86
2015-03-22-15-30,15614,156.00,17.89,0.91,1.04,0.86
2015-03-22-16-00,14912,157.00,17.24,0.89,1.03,0.84
2015-03-22-16-30,14181,157.00,17.77,0.89,1.04,0.84
2015-03-22-17-00,13517,152.00,17.18,0.89,1.03,0.83
2015-03-22-17-30,13272,154.00,17.41,0.92,1.05,0.84
2015-03-22-18-00,12321,150.00,17.28,0.87,1.05,0.84
2015-03-22-18-30,11776,147.00,17.13,0.88,1.02,0.82
2015-03-22-19-00,11464,147.00,17.18,0.88,1.05,0.82
